candidate,direction,status,n,win_rate,strict_win_rate,sortino,total_expectancy,timeout_fraction,dominant_coin,max_coin_share,dominant_year,max_year_share,n_shock_excluded,pattern_significant,pattern_p_value,pattern_oos_sd,pattern_excess_return,pattern_mfe_mae_ratio,fdr_alpha,fdr_significant,fdr_demoted,prior_weight
c2_short,short,watch,203,0.4425287356321839,0.3793103448275862,-5.268760436310515,-4.5570852281946745,0.14285714285714285,,,2026.0,0.7523918536496589,50,False,0.859,0.1675718453544213,-0.01907834780616148,0.5843090140437274,0.05,False,,
c6_long,long,rejected,265,0.4090909090909091,0.27169811320754716,13.418282738582477,12.835686149180367,0.33584905660377357,DOGEUSDT,0.30044231648626685,2024.0,0.49273451638701116,114,True,0.0915,0.37479435907554853,0.06701159054223728,2.3260730050265677,0.05,False,True,
c6_short,short,watch,167,0.5528455284552846,0.40718562874251496,-4.524900951375837,-4.172175616690719,0.2634730538922156,ETHUSDT,0.7578261490705555,2026.0,0.8001684339284584,50,False,0.815,0.14741705992599716,-0.03781934999726595,1.182350378399691,0.05,False,,
jobless_claims_beat_volume_surge_long,long,rejected,500,0.3394736842105263,0.258,11.42923564600092,13.120952385697015,0.24,ADAUSDT,0.26309222254746084,2020.0,0.5827050081104308,76,False,0.4955,0.19342635956418086,0.004477077795219053,1.5830274348608564,0.05,False,,1.0
jobless_claims_beat_low_efficiency_fade_short,short,watch,1863,0.3530864197530864,0.3070316693505099,-2.4524641497439297,-11.277075636794649,0.13043478260869565,,,2025.0,1.0,77,False,1.0,0.5050984302442663,-0.052817232323985316,0.538937056415356,0.05,False,,1.0
strong_claims_volume_breakdown_short,short,watch,521,0.3765281173594132,0.29558541266794625,-3.5857990878451136,-6.311066238706312,0.21497120921305182,ADAUSDT,1.0,2025.0,1.0,71,False,0.7125,0.2147075832578791,-0.010770119629609831,0.6505336916386145,0.05,False,,1.0
strong_labor_print_then_volume_bloweoff,short,watch,568,0.5888324873096447,0.4084507042253521,-6.438936471429039,-27.358271488560227,0.30633802816901406,,,2026.0,1.0,83,False,0.974,0.2128625114175638,-0.03774745821128161,0.5371572155077906,0.05,False,,1.0
jobless_claims_improvement_trendless_long,long,rejected,1066,0.29004329004329005,0.25140712945590993,4.4597949258644825,8.191583420444841,0.13320825515947468,DOGEUSDT,0.2926551139905599,2021.0,0.3430147186673121,37,True,0.0085,0.1417155118711231,0.019591189539866275,1.5456324884374093,0.05,False,True,1.0
dovish_rate_surprise_then_oversold_bounce,long,watch,361,0.4549019607843137,0.32132963988919666,7.287350266270393,8.630365437677057,0.29362880886426596,XRPUSDT,0.4475766862293948,2023.0,0.6649325479624736,13,True,0.075,0.10250514199086375,0.012826509074570069,1.3321558977806305,0.05,False,,1.0
claims beat + overbought momentum continuation,long,rejected,597,0.27710843373493976,0.23115577889447236,8.638668186423736,11.276040980304586,0.1658291457286432,BNBUSDT,0.2118407518374878,2024.0,0.4074076982250548,58,False,0.4985,0.2860205627289915,-0.0010293835327001705,1.5811733856421901,0.05,False,,1.0
rate_surprise_then_bollinger_extreme,short,watch,461,0.47619047619047616,0.368763557483731,-3.7111836271328515,-8.45597676088403,0.22559652928416485,LTCUSDT,1.0,2022.0,0.9719201300572764,25,False,0.7085,0.5580657290415886,-0.032003377458089774,0.7491168121868721,0.05,False,,1.0
claims_surprise_then_volume_breakout_long,long,rejected,322,0.35039370078740156,0.27639751552795033,4.603037449691098,4.415691276113581,0.2111801242236025,DOGEUSDT,0.5679535120136429,2021.0,0.4481961750791486,79,False,0.9985,0.32702367087323453,-0.057695608603911694,2.2591740073872892,0.05,False,,1.0
jobless_claims_beat_funding_flush,long,rejected,538,0.28450704225352114,0.18773234200743494,1.674011957698531,2.830890247697266,0.34014869888475835,XRPUSDT,0.39903170023342793,2025.0,0.34731114434919474,38,True,0.003,0.11770408578634836,0.030574559923671106,1.7082236729058171,0.05,False,True,1.0
jobless_claims_beat_oversold_bollinger,long,watch,248,0.3137254901960784,0.25806451612903225,8.778230717465863,4.0587542463217625,0.1774193548387097,DOGEUSDT,0.5691210955340811,2021.0,0.697519952243253,15,True,0.0015,0.7643619408734597,0.10717533206575275,4.826010230861953,0.05,False,,1.0
hot_cpi_then_choppy_market_fade,short,rejected,516,0.4472361809045226,0.3449612403100775,15.180162498881987,19.65368964045218,0.22868217054263565,XRPUSDT,0.3229219162048073,2021.0,0.4688330087679159,16,True,0.011,0.1941008654820945,0.08224884715203909,1.6965002167955987,0.05,False,True,1.0
CPI surprise followed by high-volume capitulation -> continuation short,short,rejected,228,0.656084656084656,0.543859649122807,3.7481525079043365,3.7224233898328425,0.17105263157894737,BTCUSDT,0.525592285398611,2026.0,0.4591826343709121,57,False,0.7295,0.4013061528971859,-0.031693227836791925,1.4279806681975193,0.05,False,,1.0
jobless_claims_shock_then_bollinger_breakout_long,long,rejected,446,0.3106267029972752,0.2556053811659193,9.344722250332138,9.031887579971452,0.17713004484304934,BNBUSDT,0.3068481049905916,2020.0,0.5154464260694988,50,False,0.7955,0.2119198181884394,-0.03708148050608918,2.1475469651362857,0.05,False,,1.0
jobless_claims_surprise_then_oversold_rsi_short,short,watch,186,0.46794871794871795,0.3924731182795699,0.16557001657142847,0.11288227100768733,0.16129032258064516,ETHUSDT,0.6967851177198366,2026.0,0.6017372488751322,32,False,0.636,0.14713347669790144,-0.006450657720669228,0.9138668196788454,0.05,False,,1.0
jobless_claims_surprise_then_volume_breakout_short,short,watch,318,0.38380281690140844,0.34276729559748426,0.0925294352905644,0.10503903098387946,0.1069182389937107,,,2026.0,0.43127781785043123,66,False,0.4495,0.32538775420172344,0.0013195528296343698,1.252107901685734,0.05,False,,1.0
jobless_claims_beat_low_volume,long,rejected,1534,0.29135618479880776,0.25488917861799215,2.329286157510905,6.532788636495405,0.12516297262059975,DOGEUSDT,0.41221226593883575,2021.0,0.5594597980523331,25,True,0.0055,0.21103921170457532,0.023325190280219545,1.84954154066176,0.05,False,True,1.0
hawkish_rate_surprise_band_breakdown,short,watch,458,0.3333333333333333,0.2838427947598253,-2.449769007887181,-3.612343073145425,0.14847161572052403,LTCUSDT,0.3688510388331121,2022.0,0.9520204149702397,25,False,0.1485,0.15019942422702803,0.03303963756751824,1.5227726872958864,0.05,False,,1.0
