strategy,timeframe,entry_preset_idx,exit_preset,period,total_trades,win_rate,sortino_ratio,net_profit_pct,backtest_days
MeanReversionBBRSI,4h,1,sl_only_trailing,IS,8,0.75,-0.012,-0.03,725
MeanReversionBBRSI,4h,1,sl_only_trailing,OOS,5,0.6,-57.645,-3.393,360
MeanReversionBBRSI,4h,2,null_null,IS,33,0.8788,1.893,79.359,725
MeanReversionBBRSI,4h,2,null_null,OOS,16,0.5625,-0.301,-25.424,360
MeanReversionBBRSI,4h,2,tight,IS,48,0.5625,5.817,25.627,725
MeanReversionBBRSI,4h,2,tight,OOS,24,0.1667,-3.974,-27.4,360
MeanReversionBBRSI,4h,2,wide,IS,39,0.7179,1.064,54.204,725
MeanReversionBBRSI,4h,2,wide,OOS,22,0.4091,-1.42,-22.202,360
MeanReversionBBRSI,4h,2,sl_only_trailing,IS,39,0.7436,0.118,4.455,725
MeanReversionBBRSI,4h,2,sl_only_trailing,OOS,22,0.4091,-1.885,-28.749,360
VolatilityBreakoutKCSqueeze,15m,0,null_null,IS,2090,0.2584,-13.218,-78.283,733
VolatilityBreakoutKCSqueeze,15m,0,null_null,OOS,995,0.2503,-19.784,-68.127,360
VolatilityBreakoutKCSqueeze,15m,0,tight,IS,2131,0.2628,-17.019,-84.842,733
VolatilityBreakoutKCSqueeze,15m,0,tight,OOS,1014,0.2525,-23.452,-69.529,360
VolatilityBreakoutKCSqueeze,15m,0,wide,IS,2100,0.259,-14.649,-80.713,733
VolatilityBreakoutKCSqueeze,15m,0,wide,OOS,996,0.25,-20.071,-66.743,360
VolatilityBreakoutKCSqueeze,15m,0,sl_only_trailing,IS,2132,0.2749,-20.071,-92.293,733
VolatilityBreakoutKCSqueeze,15m,0,sl_only_trailing,OOS,1008,0.2659,-23.774,-74.318,360
VolatilityBreakoutKCSqueeze,15m,1,null_null,IS,1670,0.2749,-9.069,-68.334,733
VolatilityBreakoutKCSqueeze,15m,1,null_null,OOS,794,0.2607,-13.922,-63.679,360
VolatilityBreakoutKCSqueeze,15m,1,tight,IS,1860,0.2973,-13.634,-77.135,733
VolatilityBreakoutKCSqueeze,15m,1,tight,OOS,868,0.2765,-17.555,-68.115,360
VolatilityBreakoutKCSqueeze,15m,1,wide,IS,1723,0.2763,-10.764,-73.972,733
VolatilityBreakoutKCSqueeze,15m,1,wide,OOS,810,0.2654,-15.064,-64.666,360
VolatilityBreakoutKCSqueeze,15m,1,sl_only_trailing,IS,1843,0.3239,-16.024,-88.296,733
VolatilityBreakoutKCSqueeze,15m,1,sl_only_trailing,OOS,859,0.3003,-18.14,-74.286,360
VolatilityBreakoutKCSqueeze,15m,2,null_null,IS,2664,0.265,-15.233,-84.879,733
VolatilityBreakoutKCSqueeze,15m,2,null_null,OOS,1267,0.2399,-24.38,-77.89,360
VolatilityBreakoutKCSqueeze,15m,2,tight,IS,2825,0.2772,-19.365,-89.107,733
VolatilityBreakoutKCSqueeze,15m,2,tight,OOS,1316,0.2439,-28.703,-81.432,360
VolatilityBreakoutKCSqueeze,15m,2,wide,IS,2717,0.265,-16.578,-88.138,733
